Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2011,1,Ciutat Vella,1,el Raval,1 espanyol,6539
2011,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2697
2011,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2709
2011,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,4062
2011,2,Eixample,5,el Fort Pienc,1 espanyol,4281
2011,2,Eixample,6,la Sagrada Família,1 espanyol,7934
2011,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6527
2011,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6757
2011,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8448
2011,2,Eixample,10,Sant Antoni,1 espanyol,5971
2011,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5914
2011,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,161
2011,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3175
2011,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1444
2011,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2272
2011,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2179
2011,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3203
2011,3,Sants-Montjuïc,18,Sants,1 espanyol,6164
2011,4,Les Corts,19,les Corts,1 espanyol,5879
2011,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2731
2011,4,Les Corts,21,Pedralbes,1 espanyol,1109
2011,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,371
2011,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2579
2011,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1397
2011,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2777
2011,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5924
2011,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4270
2011,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2133
2011,6,Gràcia,29,el Coll,1 espanyol,1026
2011,6,Gràcia,30,la Salut,1 espanyol,1743
2011,6,Gràcia,31,la Vila de Gràcia,1 espanyol,9427
2011,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5162
2011,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3612
2011,7,Horta-Guinardó,34,Can Baró,1 espanyol,1232
2011,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5104
2011,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,942
2011,7,Horta-Guinardó,37,el Carmel,1 espanyol,3528
2011,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1398
2011,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,851
2011,7,Horta-Guinardó,40,Montbau,1 espanyol,756
2011,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,613
2011,7,Horta-Guinardó,42,la Clota,1 espanyol,51
2011,7,Horta-Guinardó,43,Horta,1 espanyol,3140
2011,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3148
2011,8,Nou Barris,45,Porta,1 espanyol,3160
2011,8,Nou Barris,46,el Turó de la Peira,1 espanyol,2155
2011,8,Nou Barris,47,Can Peguera,1 espanyol,295
2011,8,Nou Barris,48,la Guineueta,1 espanyol,1669
2011,8,Nou Barris,49,Canyelles,1 espanyol,625
2011,8,Nou Barris,50,les Roquetes,1 espanyol,1613
2011,8,Nou Barris,51,Verdun,1 espanyol,1658
2011,8,Nou Barris,52,la Prosperitat,1 espanyol,3020
2011,8,Nou Barris,53,la Trinitat Nova,1 espanyol,1025
2011,8,Nou Barris,54,Torre Baró,1 espanyol,164
2011,8,Nou Barris,55,Ciutat Meridiana,1 espanyol,917
2011,8,Nou Barris,56,Vallbona,1 espanyol,157
2011,9,Sant Andreu,57,la Trinitat Vella,1 espanyol,840
2011,9,Sant Andreu,58,Baró de Viver,1 espanyol,315
2011,9,Sant Andreu,59,el Bon Pastor,1 espanyol,1200
2011,9,Sant Andreu,60,Sant Andreu,1 espanyol,6667
2011,9,Sant Andreu,61,la Sagrera,1 espanyol,3322
2011,9,Sant Andreu,62,el Congrés i els Indians,1 espanyol,2035
2011,9,Sant Andreu,63,Navas,1 espanyol,2606
2011,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 espanyol,5529
2011,10,Sant Martí,65,el Clot,1 espanyol,3101
2011,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1 espanyol,1828
2011,10,Sant Martí,67,la Vila Olímpica del Poblenou,1 espanyol,899
2011,10,Sant Martí,68,el Poblenou,1 espanyol,4113
2011,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1 espanyol,1597
2011,10,Sant Martí,70,el Besòs i el Maresme,1 espanyol,2381
2011,10,Sant Martí,71,Provençals del Poblenou,1 espanyol,2156
2011,10,Sant Martí,72,Sant Martí de Provençals,1 espanyol,3202
2011,10,Sant Martí,73,la Verneda i la Pau,1 espanyol,2892
2011,1,Ciutat Vella,1,el Raval,2 espanyols,3629
