Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2013,1,Ciutat Vella,1,el Raval,1 espanyol,6319
2013,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2533
2013,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2610
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3912
2013,2,Eixample,5,el Fort Pienc,1 espanyol,4277
2013,2,Eixample,6,la Sagrada Família,1 espanyol,7918
2013,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6538
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6627
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8485
2013,2,Eixample,10,Sant Antoni,1 espanyol,6019
2013,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5671
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,164
2013,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3341
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1443
2013,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2261
2013,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2241
2013,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3242
2013,3,Sants-Montjuïc,18,Sants,1 espanyol,6134
2013,4,Les Corts,19,les Corts,1 espanyol,5956
2013,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2745
2013,4,Les Corts,21,Pedralbes,1 espanyol,1085
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,372
2013,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2503
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1389
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2722
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,6009
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4239
2013,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2137
2013,6,Gràcia,29,el Coll,1 espanyol,975
2013,6,Gràcia,30,la Salut,1 espanyol,1755
2013,6,Gràcia,31,la Vila de Gràcia,1 espanyol,9063
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5126
2013,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3622
2013,7,Horta-Guinardó,34,Can Baró,1 espanyol,1208
2013,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5104
2013,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,963
2013,7,Horta-Guinardó,37,el Carmel,1 espanyol,3647
