Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2017,1,Ciutat Vella,1,el Raval,1 espanyol,6030
2017,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2371
2017,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2423
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3794
2017,2,Eixample,5,el Fort Pienc,1 espanyol,4180
2017,2,Eixample,6,la Sagrada Família,1 espanyol,7543
2017,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6316
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6556
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8469
2017,2,Eixample,10,Sant Antoni,1 espanyol,5955
2017,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5594
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,168
2017,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3388
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1465
2017,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2256
2017,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2270
2017,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3198
2017,3,Sants-Montjuïc,18,Sants,1 espanyol,5941
2017,4,Les Corts,19,les Corts,1 espanyol,5906
2017,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2828
2017,4,Les Corts,21,Pedralbes,1 espanyol,1083
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,373
2017,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2466
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1344
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2688
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5891
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4129
2017,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2097
2017,6,Gràcia,29,el Coll,1 espanyol,984
2017,6,Gràcia,30,la Salut,1 espanyol,1748
2017,6,Gràcia,31,la Vila de Gràcia,1 espanyol,8692
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5051
2017,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3645
2017,7,Horta-Guinardó,34,Can Baró,1 espanyol,1265
2017,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5125
2017,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,952
2017,7,Horta-Guinardó,37,el Carmel,1 espanyol,3730
2017,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1425
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,876
2017,7,Horta-Guinardó,40,Montbau,1 espanyol,745
2017,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,684
2017,7,Horta-Guinardó,42,la Clota,1 espanyol,88
2017,7,Horta-Guinardó,43,Horta,1 espanyol,3194
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3262
2017,8,Nou Barris,45,Porta,1 espanyol,3256
2017,8,Nou Barris,46,el Turó de la Peira,1 espanyol,2177
2017,8,Nou Barris,47,Can Peguera,1 espanyol,308
2017,8,Nou Barris,48,la Guineueta,1 espanyol,1749
2017,8,Nou Barris,49,Canyelles,1 espanyol,715
2017,8,Nou Barris,50,les Roquetes,1 espanyol,1663
2017,8,Nou Barris,51,Verdun,1 espanyol,1734
2017,8,Nou Barris,52,la Prosperitat,1 espanyol,3208
2017,8,Nou Barris,53,la Trinitat Nova,1 espanyol,971
2017,8,Nou Barris,54,Torre Baró,1 espanyol,230
2017,8,Nou Barris,55,Ciutat Meridiana,1 espanyol,965
2017,8,Nou Barris,56,Vallbona,1 espanyol,136
2017,9,Sant Andreu,57,la Trinitat Vella,1 espanyol,920
2017,9,Sant Andreu,58,Baró de Viver,1 espanyol,299
2017,9,Sant Andreu,59,el Bon Pastor,1 espanyol,1144
2017,9,Sant Andreu,60,Sant Andreu,1 espanyol,6801
2017,9,Sant Andreu,61,la Sagrera,1 espanyol,3451
2017,9,Sant Andreu,62,el Congrés i els Indians,1 espanyol,2013
2017,9,Sant Andreu,63,Navas,1 espanyol,2752
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 espanyol,5524
2017,10,Sant Martí,65,el Clot,1 espanyol,3104
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1 espanyol,1965
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,1 espanyol,809
2017,10,Sant Martí,68,el Poblenou,1 espanyol,4139
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1 espanyol,1577
2017,10,Sant Martí,70,el Besòs i el Maresme,1 espanyol,2401
2017,10,Sant Martí,71,Provençals del Poblenou,1 espanyol,2213
2017,10,Sant Martí,72,Sant Martí de Provençals,1 espanyol,3189
2017,10,Sant Martí,73,la Verneda i la Pau,1 espanyol,3093
2017,1,Ciutat Vella,1,el Raval,2 espanyols,3135
2017,1,Ciutat Vella,2,el Barri Gòtic,2 espanyols,1166
2017,1,Ciutat Vella,3,la Barceloneta,2 espanyols,1427
