Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2016,1,Ciutat Vella,1,el Raval,1 espanyol,6071
2016,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2354
2016,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2484
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3790
2016,2,Eixample,5,el Fort Pienc,1 espanyol,4189
2016,2,Eixample,6,la Sagrada Família,1 espanyol,7549
2016,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6389
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6534
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8395
2016,2,Eixample,10,Sant Antoni,1 espanyol,5939
2016,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5619
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,159
2016,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3300
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1439
2016,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2239
2016,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2245
2016,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3214
2016,3,Sants-Montjuïc,18,Sants,1 espanyol,5917
2016,4,Les Corts,19,les Corts,1 espanyol,5880
2016,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2781
2016,4,Les Corts,21,Pedralbes,1 espanyol,1058
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,371
2016,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2417
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1391
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2730
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5915
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4119
2016,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2106
2016,6,Gràcia,29,el Coll,1 espanyol,965
2016,6,Gràcia,30,la Salut,1 espanyol,1741
2016,6,Gràcia,31,la Vila de Gràcia,1 espanyol,8771
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5019
2016,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3593
2016,7,Horta-Guinardó,34,Can Baró,1 espanyol,1221
2016,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5099
2016,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,951
2016,7,Horta-Guinardó,37,el Carmel,1 espanyol,3673
2016,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1360
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,875
2016,7,Horta-Guinardó,40,Montbau,1 espanyol,732
2016,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,656
2016,7,Horta-Guinardó,42,la Clota,1 espanyol,85
2016,7,Horta-Guinardó,43,Horta,1 espanyol,3183
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3213
2016,8,Nou Barris,45,Porta,1 espanyol,3196
2016,8,Nou Barris,46,el Turó de la Peira,1 espanyol,2177
2016,8,Nou Barris,47,Can Peguera,1 espanyol,296
2016,8,Nou Barris,48,la Guineueta,1 espanyol,1728
2016,8,Nou Barris,49,Canyelles,1 espanyol,706
2016,8,Nou Barris,50,les Roquetes,1 espanyol,1631
2016,8,Nou Barris,51,Verdun,1 espanyol,1680
2016,8,Nou Barris,52,la Prosperitat,1 espanyol,3168
2016,8,Nou Barris,53,la Trinitat Nova,1 espanyol,959
2016,8,Nou Barris,54,Torre Baró,1 espanyol,235
2016,8,Nou Barris,55,Ciutat Meridiana,1 espanyol,926
2016,8,Nou Barris,56,Vallbona,1 espanyol,138
2016,9,Sant Andreu,57,la Trinitat Vella,1 espanyol,894
2016,9,Sant Andreu,58,Baró de Viver,1 espanyol,298
2016,9,Sant Andreu,59,el Bon Pastor,1 espanyol,1124
2016,9,Sant Andreu,60,Sant Andreu,1 espanyol,6764
2016,9,Sant Andreu,61,la Sagrera,1 espanyol,3374
2016,9,Sant Andreu,62,el Congrés i els Indians,1 espanyol,1990
2016,9,Sant Andreu,63,Navas,1 espanyol,2702
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 espanyol,5457
2016,10,Sant Martí,65,el Clot,1 espanyol,3117
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1 espanyol,1931
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,1 espanyol,818
2016,10,Sant Martí,68,el Poblenou,1 espanyol,4144
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1 espanyol,1597
2016,10,Sant Martí,70,el Besòs i el Maresme,1 espanyol,2365
2016,10,Sant Martí,71,Provençals del Poblenou,1 espanyol,2230
2016,10,Sant Martí,72,Sant Martí de Provençals,1 espanyol,3142
2016,10,Sant Martí,73,la Verneda i la Pau,1 espanyol,3047
2016,1,Ciutat Vella,1,el Raval,2 espanyols,3250
2016,1,Ciutat Vella,2,el Barri Gòtic,2 espanyols,1234
2016,1,Ciutat Vella,3,la Barceloneta,2 espanyols,1444
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2 espanyols,1944
2016,2,Eixample,5,el Fort Pienc,2 espanyols,3377
2016,2,Eixample,6,la Sagrada Família,2 espanyols,5954
2016,2,Eixample,7,la Dreta de l'Eixample,2 espanyols,4365
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2 espanyols,4515
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,2 espanyols,6663
2016,2,Eixample,10,Sant Antoni,2 espanyols,4410
2016,3,Sants-Montjuïc,11,el Poble Sec,2 espanyols,4035
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2 espanyols,106
2016,3,Sants-Montjuïc,13,la Marina de Port,2 espanyols,3375
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,2 espanyols,1177
2016,3,Sants-Montjuïc,15,Hostafrancs,2 espanyols,1776
2016,3,Sants-Montjuïc,16,la Bordeta,2 espanyols,2244
2016,3,Sants-Montjuïc,17,Sants - Badal,2 espanyols,2914
2016,3,Sants-Montjuïc,18,Sants,2 espanyols,4840
2016,4,Les Corts,19,les Corts,2 espanyols,5365
2016,4,Les Corts,20,la Maternitat i Sant Ramon,2 espanyols,2785
2016,4,Les Corts,21,Pedralbes,2 espanyols,1030
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2 espanyols,371
2016,5,Sarrià-Sant Gervasi,23,Sarrià,2 espanyols,2110
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,2 espanyols,1332
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2 espanyols,2229
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2 espanyols,4570
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,2 espanyols,2958
2016,6,Gràcia,28,Vallcarca i els Penitents,2 espanyols,1747
2016,6,Gràcia,29,el Coll,2 espanyols,872
2016,6,Gràcia,30,la Salut,2 espanyols,1513
2016,6,Gràcia,31,la Vila de Gràcia,2 espanyols,5632
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2 espanyols,4201
2016,7,Horta-Guinardó,33,el Baix Guinardó,2 espanyols,3093
2016,7,Horta-Guinardó,34,Can Baró,2 espanyols,1110
2016,7,Horta-Guinardó,35,el Guinardó,2 espanyols,4454
2016,7,Horta-Guinardó,36,la Font d'en Fargues,2 espanyols,1102
2016,7,Horta-Guinardó,37,el Carmel,2 espanyols,3862
2016,7,Horta-Guinardó,38,la Teixonera,2 espanyols,1471
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,2 espanyols,891
2016,7,Horta-Guinardó,40,Montbau,2 espanyols,662
