Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2007,1,Ciutat Vella,1,el Raval,1 espanyol,6609
2007,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2761
2007,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2683
2007,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,4018
2007,2,Eixample,5,el Fort Pienc,1 espanyol,4019
2007,2,Eixample,6,la Sagrada Família,1 espanyol,7600
2007,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6388
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6667
2007,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8159
2007,2,Eixample,10,Sant Antoni,1 espanyol,5765
2007,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5860
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermel,1 espanyol,154
2007,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,2859
2007,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1359
2007,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2181
2007,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2028
2007,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,2960
2007,3,Sants-Montjuïc,18,Sants,1 espanyol,5768
2007,4,Les Corts,19,les Corts,1 espanyol,5532
2007,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2602
2007,4,Les Corts,21,Pedralbes,1 espanyol,997
2007,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,345
2007,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2443
2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1284
2007,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2530
2007,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5732
2007,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,3948
2007,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2111
2007,6,Gràcia,29,el Coll,1 espanyol,927
2007,6,Gràcia,30,la Salut,1 espanyol,1579
2007,6,Gràcia,31,la Vila de Gràcia,1 espanyol,8971
2007,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,4897
2007,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3365
2007,7,Horta-Guinardó,34,Can Baró,1 espanyol,1190
2007,7,Horta-Guinardó,35,el Guinardó,1 espanyol,4691
