Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2009,1,Ciutat Vella,1,el Raval,1 espanyol,6617
2009,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2675
2009,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2709
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3993
2009,2,Eixample,5,el Fort Pienc,1 espanyol,4190
2009,2,Eixample,6,la Sagrada Família,1 espanyol,7756
2009,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6497
2009,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6753
2009,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8273
2009,2,Eixample,10,Sant Antoni,1 espanyol,5938
2009,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5980
2009,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,146
2009,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3070
2009,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1376
2009,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2248
2009,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2108
2009,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3112
2009,3,Sants-Montjuïc,18,Sants,1 espanyol,6042
2009,4,Les Corts,19,les Corts,1 espanyol,5716
2009,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2641
2009,4,Les Corts,21,Pedralbes,1 espanyol,1062
2009,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,358
2009,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2476
2009,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1335
2009,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2629
2009,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5812
2009,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4163
2009,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2168
2009,6,Gràcia,29,el Coll,1 espanyol,980
2009,6,Gràcia,30,la Salut,1 espanyol,1675
2009,6,Gràcia,31,la Vila de Gràcia,1 espanyol,9197
2009,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5019
2009,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3510
2009,7,Horta-Guinardó,34,Can Baró,1 espanyol,1194
2009,7,Horta-Guinardó,35,el Guinardó,1 espanyol,4972
2009,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,887
2009,7,Horta-Guinardó,37,el Carmel,1 espanyol,3499
2009,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1331
2009,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,824
2009,7,Horta-Guinardó,40,Montbau,1 espanyol,728
2009,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,561
2009,7,Horta-Guinardó,42,la Clota,1 espanyol,54
2009,7,Horta-Guinardó,43,Horta,1 espanyol,3056
2009,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3050
2009,8,Nou Barris,45,Porta,1 espanyol,2999
