Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2008,1,Ciutat Vella,1,el Raval,1 espanyol,6633
2008,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2699
2008,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2681
2008,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,4011
2008,2,Eixample,5,el Fort Pienc,1 espanyol,4097
2008,2,Eixample,6,la Sagrada Família,1 espanyol,7679
2008,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6578
2008,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6742
2008,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8189
2008,2,Eixample,10,Sant Antoni,1 espanyol,5889
2008,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5923
2008,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,152
2008,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,2937
2008,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1373
2008,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2190
2008,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2097
2008,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3039
2008,3,Sants-Montjuïc,18,Sants,1 espanyol,5925
2008,4,Les Corts,19,les Corts,1 espanyol,5602
2008,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2642
2008,4,Les Corts,21,Pedralbes,1 espanyol,1005
2008,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,358
2008,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2410
2008,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1262
2008,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2532
2008,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5780
2008,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4065
2008,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2123
2008,6,Gràcia,29,el Coll,1 espanyol,956
2008,6,Gràcia,30,la Salut,1 espanyol,1624
2008,6,Gràcia,31,la Vila de Gràcia,1 espanyol,9182
2008,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,4972
2008,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3482
2008,7,Horta-Guinardó,34,Can Baró,1 espanyol,1210
2008,7,Horta-Guinardó,35,el Guinardó,1 espanyol,4788
2008,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,857
2008,7,Horta-Guinardó,37,el Carmel,1 espanyol,3417
2008,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1282
2008,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,780
2008,7,Horta-Guinardó,40,Montbau,1 espanyol,729
2008,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,533
2008,7,Horta-Guinardó,42,la Clota,1 espanyol,57
2008,7,Horta-Guinardó,43,Horta,1 espanyol,2951
2008,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,2965
2008,8,Nou Barris,45,Porta,1 espanyol,2908
