Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2014,1,Ciutat Vella,1,el Raval,1 espanyol,6208
2014,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2456
2014,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2579
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3806
2014,2,Eixample,5,el Fort Pienc,1 espanyol,4196
2014,2,Eixample,6,la Sagrada Família,1 espanyol,7715
2014,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6481
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6639
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8393
2014,2,Eixample,10,Sant Antoni,1 espanyol,5934
2014,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5612
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,173
2014,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3323
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1461
2014,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2195
2014,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2220
2014,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3243
2014,3,Sants-Montjuïc,18,Sants,1 espanyol,6060
2014,4,Les Corts,19,les Corts,1 espanyol,5985
2014,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2789
2014,4,Les Corts,21,Pedralbes,1 espanyol,1070
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,375
2014,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2463
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1383
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2739
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5986
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4230
2014,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2120
2014,6,Gràcia,29,el Coll,1 espanyol,968
2014,6,Gràcia,30,la Salut,1 espanyol,1764
2014,6,Gràcia,31,la Vila de Gràcia,1 espanyol,8894
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5013
2014,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3666
2014,7,Horta-Guinardó,34,Can Baró,1 espanyol,1220
2014,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5061
2014,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,945
2014,7,Horta-Guinardó,37,el Carmel,1 espanyol,3668
2014,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1409
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,879
2014,7,Horta-Guinardó,40,Montbau,1 espanyol,728
2014,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,616
2014,7,Horta-Guinardó,42,la Clota,1 espanyol,74
2014,7,Horta-Guinardó,43,Horta,1 espanyol,3227
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3218
2014,8,Nou Barris,45,Porta,1 espanyol,3305
